P_in_rel;P_in_stor;eta_in
0.5603;0.4624;0.8253
0.5608;0.4646;0.8285
0.561;0.4608;0.8214
0.5612;0.4629;0.8249
0.5614;0.4613;0.8217
0.5617;0.4669;0.8313
0.5619;0.4631;0.8241
0.5621;0.4658;0.8286
0.5625;0.4648;0.8263
0.5632;0.4668;0.8288
0.5634;0.4657;0.8266
0.5641;0.4652;0.8246
0.5648;0.4665;0.826
0.565;0.4698;0.8315
0.5656;0.4682;0.8278
0.5659;0.4648;0.8213
0.5665;0.4718;0.8329
0.567;0.472;0.8324
0.5672;0.4719;0.832
0.5674;0.4695;0.8275
0.5676;0.4695;0.8272
0.5679;0.4677;0.8235
0.5688;0.4704;0.827
0.569;0.4743;0.8336
0.5692;0.4717;0.8287
0.5696;0.474;0.8322
0.5703;0.4716;0.8269
0.5705;0.4711;0.8258
0.5708;0.476;0.8339
0.5712;0.4791;0.8387
0.5714;0.4756;0.8324
0.5719;0.4739;0.8286
0.5723;0.4754;0.8306
0.5725;0.4787;0.8362
0.5728;0.4724;0.8248
0.5734;0.4773;0.8324
0.575;0.4786;0.8323
0.5765;0.4814;0.835
0.5772;0.4825;0.8359
0.5776;0.4788;0.8289
0.5779;0.4809;0.8322
0.5787;0.482;0.8329
0.5796;0.4798;0.8278
0.5807;0.4817;0.8295
0.5812;0.4811;0.8278
0.5814;0.4817;0.8286
0.5816;0.4839;0.8321
0.5819;0.4845;0.8327
0.5821;0.4841;0.8316
0.5823;0.4812;0.8264
0.5825;0.4876;0.837
0.5834;0.4818;0.8259
0.5843;0.4864;0.8325
0.585;0.4843;0.8279
0.5856;0.4862;0.8302
0.5861;0.4872;0.8312
0.5865;0.4924;0.8396
0.5867;0.487;0.8301
0.5874;0.4869;0.8289
0.5876;0.4894;0.8328
0.5885;0.4874;0.8282
0.589;0.4943;0.8392
0.5894;0.491;0.8331
0.5896;0.4951;0.8398
0.5898;0.4928;0.8356
0.5903;0.489;0.8284
0.5905;0.4948;0.838
0.5907;0.4971;0.8415
0.5914;0.4949;0.8368
0.5916;0.495;0.8367
0.5918;0.4968;0.8395
0.5921;0.4948;0.8356
0.5934;0.4934;0.8314
0.5938;0.4976;0.838
0.5941;0.5009;0.8432
0.5943;0.4992;0.84
0.5945;0.4935;0.8301
0.595;0.4983;0.8375
0.5956;0.4988;0.8374
0.5958;0.5029;0.844
0.5961;0.4973;0.8343
0.5963;0.4992;0.8372
0.5965;0.496;0.8315
0.597;0.4997;0.8371
0.5972;0.499;0.8355
0.5978;0.4968;0.831
0.5981;0.4983;0.8331
0.5985;0.4982;0.8324
0.5989;0.4979;0.8313
0.5992;0.4993;0.8333
0.5994;0.5049;0.8424
0.5996;0.5014;0.8362
0.5998;0.5031;0.8387
0.6001;0.5023;0.837
0.6007;0.5015;0.8349
0.6009;0.5051;0.8405
0.6012;0.503;0.8367
0.6025;0.5039;0.8364
0.6027;0.5004;0.8303
0.6029;0.5043;0.8365
0.6034;0.505;0.8369
0.6036;0.5039;0.8349
0.6038;0.5044;0.8354
0.6041;0.5033;0.8332
0.6043;0.5023;0.8312
0.6045;0.5061;0.8373
0.6047;0.5081;0.8402
0.6052;0.505;0.8344
0.6058;0.5058;0.8349
0.6065;0.5078;0.8372
0.6072;0.5056;0.8326
0.6076;0.5124;0.8434
0.6087;0.5117;0.8407
0.6089;0.5113;0.8397
0.6098;0.514;0.8429
0.6103;0.5169;0.847
0.6105;0.5109;0.8368
0.6112;0.5102;0.8347
0.6114;0.5109;0.8356
0.6116;0.5126;0.8381
0.6118;0.5135;0.8393
0.612;0.5139;0.8397
0.6123;0.5164;0.8434
0.6125;0.5117;0.8354
0.6136;0.5169;0.8424
0.6138;0.518;0.8439
0.614;0.5177;0.8431
0.6147;0.5146;0.8371
0.6152;0.5162;0.839
0.6156;0.5171;0.84
0.6158;0.5201;0.8446
0.6165;0.5182;0.8405
0.6178;0.519;0.84
0.6185;0.5191;0.8393
0.6189;0.5183;0.8375
0.6194;0.5217;0.8422
0.6196;0.5252;0.8477
0.62;0.5197;0.8383
0.6216;0.5233;0.8418
0.6218;0.5241;0.8428
0.6223;0.521;0.8372
0.6225;0.5217;0.8381
0.6227;0.5248;0.8428
0.6229;0.5248;0.8425
