datetime;(('bus_gen', 'storage'), 'flow');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'None'), 'soc_loss');(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-11 19:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;255.24924052793085;0.008489619325258085;28.812113999999998;;0.7875549426872359
2021-12-11 20:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;218.6564919086056;0.008426946812931524;28.812113999999998;;0.7875549426872359
2021-12-11 21:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;182.06380596179267;0.008364274407944367;28.812113999999998;;0.7875549426872359
2021-12-11 22:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;145.47118268738473;0.00830160211029643;28.812113999999998;;0.7875549426872359
2021-12-11 23:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;108.87862208527443;0.008238929919987528;28.812113999999998;;0.7875549426872359
2021-12-12 00:00:00;0.0;0.0;0.0;27.279959625000032;34.746960502324576;0.0;1.0;74.12342265302986;0.008179404583766158;27.279959625000032;;0.7851034804375191
2021-12-12 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.11524324844609;0.008179390574874944;0.0;;
2021-12-12 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.10706385787121;0.008179376566007725;0.0;;
2021-12-12 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.0988844813052;0.008179362557164498;0.0;;
2021-12-12 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.09070511874805;0.008179348548345265;0.0;;
2021-12-12 05:00:00;0.0;0.0;0.0;29.31743964932877;37.490562310745105;0.0;1.0;36.5919634594546;0.0077044594545951596;29.31743964932877;;0.7819951967198462
2021-12-12 06:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;0.0;0.0;28.812113999999998;;0.7875549426872359
2021-12-12 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-12 14:00:00;33.63536;33.63536;22.949016;0.0;0.0;1.0;0.0;22.949016;0.004831659784872518;0.0;0.6822884012539185;
2021-12-12 15:00:00;52.72;52.72;38.422336;0.0;0.0;1.0;0.0;61.36652034021513;0.008157555798211242;0.0;0.7288;
2021-12-12 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.35836278441692;0.00815754182674051;0.0;;
2021-12-12 17:00:00;52.72;52.72;38.422336;0.0;0.0;1.0;0.0;99.7725412425902;0.008223333907515309;0.0;0.7288;
2021-12-12 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.76431790868268;0.008223319823386208;0.0;;
2021-12-12 19:00:00;33.63536;33.63536;22.949016;0.0;0.0;1.0;0.0;122.7051105888593;0.008262610589078243;0.0;0.6822884012539185;
