datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-01-20 17:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
2021-01-20 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
2021-01-20 19:00:00;105.90989999999995;0.0;1.0;0.0;0.0;1.0;0.0;105.90989999999995;87.72030000002144;0.0;0.0;1.0;0.0;1600.6212000003852;0.0;0.8282540159137293;
2021-01-20 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1600.6212000003852;0.0;;
2021-01-20 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1600.6212000003852;0.0;;
2021-01-20 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1600.6212000003852;0.0;;
2021-01-20 23:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1688.3415000004065;0.0;0.8282540159137288;
2021-01-21 00:00:00;15.900000000000006;1.0;1.0;0.0;0.0;0.0;0.0;15.900000000000006;10.827899999999971;0.0;0.0;1.0;0.0;1699.1694000004065;0.0;0.6809999999999979;
2021-01-21 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1699.1694000004065;0.0;;
2021-01-21 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1699.1694000004065;0.0;;
2021-01-21 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1699.1694000004065;0.0;;
2021-01-21 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1699.1694000004065;0.0;;
2021-01-21 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1699.1694000004065;0.0;;
2021-01-21 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1699.1694000004065;0.0;;
