datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-08 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 10:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 11:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 12:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-09 13:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;91.07520000000027;0.0;0.716;
2021-12-09 14:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;102.45960000000034;0.0;0.716;
2021-12-09 15:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;113.84400000000034;0.0;0.716;
2021-12-09 16:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;125.22840000000033;0.0;0.716;
2021-12-09 17:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;136.6128000000004;0.0;0.716;
2021-12-09 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-09 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-09 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-09 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-09 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-09 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;136.6128000000004;0.0;;
2021-12-10 10:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;147.99720000000045;0.0;0.716;
2021-12-10 11:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;159.38160000000045;0.0;0.716;
2021-12-10 12:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;170.7660000000005;0.0;0.716;
2021-12-10 13:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;182.15040000000056;0.0;0.716;
