datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');(('storage', '3'), 'delta');(('storage', '3'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-09 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145.33886883918544;0.0;;
2021-12-09 10:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.436;105.28;0.0;1.0;40.058868839185436;93.436;;0.8875000000000001
2021-12-09 11:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.058868839185436;0.0;;
2021-12-09 12:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.058868839185436;0.0;;
2021-12-09 13:00:00;50.96162337499993;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;50.96162337499993;40.26557847294898;0.0;0.0;1.0;0.0;80.32444731213442;0.0;0.7901156950330183;
2021-12-09 14:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;170.3661473121493;0.0;0.8496624156038943;
2021-12-09 15:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;260.4078473121642;0.0;0.8496624156038943;
2021-12-09 16:00:00;82.59102799999994;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;82.59102799999994;67.26839059719434;0.0;0.0;1.0;0.0;327.6762379093586;0.0;0.8144757636046664;
2021-12-09 17:00:00;55.134103749999895;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;55.134103749999895;43.64768712251286;0.0;0.0;1.0;0.0;371.32392503187145;0.0;0.7916640364814663;
2021-12-09 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-09 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-09 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-09 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-09 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-09 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-10 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-10 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
