datetime;demand_[MW];ee_generation_[MW]
2021-07-22 16:00:00;61745.675;22604.25
2021-07-22 17:00:00;60445.375;18135.0
2021-07-22 18:00:00;58146.275;12692.5
2021-07-22 19:00:00;56425.125;7577.0
2021-07-22 20:00:00;53875.125;4453.0
2021-07-22 21:00:00;49973.575;3468.25
2021-07-22 22:00:00;47161.399999999994;3557.75
2021-07-22 23:00:00;45612.6;3237.25
2021-07-23 00:00:00;44379.55;3106.75
2021-07-23 01:00:00;44747.725;2679.25
2021-07-23 02:00:00;45624.6;2437.75
2021-07-23 03:00:00;48186.3;2070.0
2021-07-23 04:00:00;53990.1;1971.25
2021-07-23 05:00:00;58883.05;2081.5
2021-07-23 06:00:00;62423.4;3322.25
2021-07-23 07:00:00;63761.175;6732.5
2021-07-23 08:00:00;64961.625;12318.5
2021-07-23 09:00:00;65782.775;18743.0
2021-07-23 10:00:00;65133.7;24215.75
2021-07-23 11:00:00;64014.925;28065.0
2021-07-23 12:00:00;62077.05;29635.75
2021-07-23 13:00:00;61198.875;29424.25
2021-07-23 14:00:00;60227.425;28311.0
2021-07-23 15:00:00;60151.85;26157.25
2021-07-23 16:00:00;59491.675;22547.75
2021-07-23 17:00:00;58107.325;17191.75
2021-07-23 18:00:00;55819.575;10738.0
2021-07-23 19:00:00;53787.325;5303.25
2021-07-23 20:00:00;51610.375;2841.25
2021-07-23 21:00:00;47916.775;3213.25
2021-07-23 22:00:00;44596.45;4552.0
2021-07-23 23:00:00;42653.625;5555.0
2021-07-24 00:00:00;41009.35;6336.5
2021-07-24 01:00:00;40297.325;6482.75
2021-07-24 02:00:00;40559.725;6538.0
2021-07-24 03:00:00;40734.35;6773.5
2021-07-24 04:00:00;43107.4;6941.75
2021-07-24 05:00:00;45909.825;7626.5
2021-07-24 06:00:00;49142.875;9457.5
2021-07-24 07:00:00;52581.425;12387.0
2021-07-24 08:00:00;54276.7;16038.75
2021-07-24 09:00:00;55417.6;20720.25
2021-07-24 10:00:00;55466.45;25545.25
2021-07-24 11:00:00;53813.325;30264.75
2021-07-24 12:00:00;52428.15;31637.0
2021-07-24 13:00:00;51821.75;30355.5
2021-07-24 14:00:00;51935.075;28353.75
2021-07-24 15:00:00;52401.9;25113.5
2021-07-24 16:00:00;52853.95;21239.25
2021-07-24 17:00:00;52117.45;17874.75
2021-07-24 18:00:00;50241.05;14494.0
2021-07-24 19:00:00;49523.575;12782.25
2021-07-24 20:00:00;48111.375;12537.0
2021-07-24 21:00:00;44873.325;13065.5
2021-07-24 22:00:00;43080.65;13349.0
2021-07-24 23:00:00;40662.35;13326.75
2021-07-25 00:00:00;39229.575;12613.0
2021-07-25 01:00:00;38868.0;11488.0
2021-07-25 02:00:00;38657.575;11082.0
2021-07-25 03:00:00;38749.299999999996;10731.25
2021-07-25 04:00:00;39433.8;9974.5
2021-07-25 05:00:00;41554.125;10232.0
2021-07-25 06:00:00;44554.5;11129.25
2021-07-25 07:00:00;47450.025;13344.0
2021-07-25 08:00:00;49611.15;16349.75
2021-07-25 09:00:00;51694.9;21326.25
2021-07-25 10:00:00;52233.975;26316.75
2021-07-25 11:00:00;50636.575;30151.0
2021-07-25 12:00:00;49433.6;31362.0
2021-07-25 13:00:00;48573.95;31134.0
2021-07-25 14:00:00;48224.325;29330.5
2021-07-25 15:00:00;49348.775;26032.25
2021-07-25 16:00:00;50388.125;21481.0
2021-07-25 17:00:00;50396.7;17056.0
2021-07-25 18:00:00;49305.3;12143.5
2021-07-25 19:00:00;49002.75;8005.5
2021-07-25 20:00:00;48169.4;5202.25
2021-07-25 21:00:00;45065.075;4112.5
2021-07-25 22:00:00;42534.2;4005.75
2021-07-25 23:00:00;41268.75;3718.5
